doc_index,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
0,0.000962,0.000962,0.993262,0.000963,0.000962,0.000962,0.000963,0.000962
1,0.492158,0.001305,0.001304,0.177275,0.001305,0.324045,0.001304,0.001304
2,0.000655,0.000655,0.000655,0.000655,0.000655,0.995416,0.000655,0.000655
3,0.000559,0.000559,0.000559,0.000559,0.000558,0.996090,0.000559,0.000559
4,0.622546,0.000707,0.000707,0.168915,0.000707,0.205004,0.000707,0.000707
5,0.000602,0.000602,0.007147,0.683131,0.000602,0.306713,0.000602,0.000602
6,0.000616,0.000616,0.000616,0.000616,0.000616,0.995686,0.000616,0.000616
7,0.232668,0.000736,0.000736,0.000736,0.000736,0.762917,0.000736,0.000736
8,0.000677,0.000677,0.000677,0.223403,0.000677,0.548822,0.224391,0.000676
9,0.398339,0.105050,0.001170,0.148459,0.001169,0.207173,0.058580,0.080058
10,0.000749,0.000749,0.000749,0.666438,0.000749,0.329067,0.000749,0.000749
11,0.000754,0.703321,0.000754,0.000754,0.000754,0.292158,0.000754,0.000754
12,0.000955,0.859213,0.000955,0.000955,0.000955,0.135057,0.000955,0.000955
13,0.001026,0.734106,0.001026,0.159123,0.101641,0.001026,0.001027,0.001026
14,0.264993,0.000840,0.000841,0.193283,0.000841,0.448217,0.000840,0.090145
15,0.000852,0.000852,0.695039,0.000852,0.000852,0.132840,0.167862,0.000851
16,0.103066,0.001376,0.001376,0.001376,0.001376,0.755464,0.134593,0.001375
17,0.687486,0.001545,0.001546,0.001544,0.001545,0.303245,0.001545,0.001545
18,0.001070,0.001070,0.224991,0.040160,0.001071,0.631345,0.001070,0.099222
19,0.991410,0.001227,0.001228,0.001227,0.001227,0.001227,0.001227,0.001227
20,0.993744,0.000894,0.000894,0.000894,0.000893,0.000894,0.000894,0.000894
21,0.976040,0.000813,0.000814,0.000813,0.000813,0.000813,0.000813,0.019082
22,0.001264,0.001263,0.991155,0.001263,0.001263,0.001264,0.001264,0.001263
23,0.688714,0.001002,0.305276,0.001001,0.001002,0.001002,0.001001,0.001002
24,0.000802,0.000803,0.000802,0.000802,0.000803,0.994382,0.000803,0.000803
25,0.292427,0.000807,0.000808,0.000807,0.000807,0.702729,0.000808,0.000807
26,0.178872,0.000840,0.802694,0.000840,0.000840,0.000841,0.000840,0.014235
27,0.000819,0.247418,0.631284,0.000818,0.000818,0.117207,0.000818,0.000818
28,0.260989,0.176052,0.314389,0.001564,0.001565,0.176796,0.001564,0.067081
29,0.848440,0.000834,0.146553,0.000834,0.000835,0.000835,0.000834,0.000835
30,0.002196,0.002197,0.002195,0.002195,0.002196,0.984627,0.002197,0.002196
31,0.001070,0.001069,0.001070,0.001070,0.001069,0.992513,0.001069,0.001069
32,0.001052,0.001051,0.391006,0.001051,0.001051,0.602685,0.001052,0.001051
33,0.001159,0.001159,0.303771,0.001159,0.001158,0.689276,0.001159,0.001159
34,0.303625,0.000763,0.000763,0.268331,0.000764,0.424227,0.000763,0.000763
35,0.000901,0.000900,0.094266,0.000900,0.000900,0.900333,0.000900,0.000900
36,0.001043,0.001042,0.001043,0.001043,0.001042,0.992703,0.001042,0.001042
37,0.386102,0.018609,0.348354,0.030797,0.001025,0.213061,0.001026,0.001026
38,0.000818,0.000818,0.647720,0.000818,0.000818,0.347372,0.000818,0.000818
39,0.001002,0.001001,0.001002,0.001001,0.001001,0.992991,0.001001,0.001001
40,0.032507,0.001181,0.610818,0.001180,0.001180,0.335433,0.001181,0.016520
41,0.001118,0.001118,0.001118,0.001118,0.001117,0.992175,0.001119,0.001117
42,0.001192,0.001192,0.370185,0.001191,0.001192,0.622666,0.001191,0.001191
43,0.244892,0.000662,0.088824,0.084205,0.000662,0.579429,0.000663,0.000663
44,0.002019,0.002018,0.176693,0.002020,0.002017,0.811196,0.002018,0.002017
45,0.000724,0.000723,0.214394,0.000723,0.000723,0.000724,0.781266,0.000723
46,0.001265,0.001264,0.157721,0.001265,0.001264,0.229415,0.518530,0.089275
47,0.001079,0.001078,0.001079,0.001079,0.992447,0.001079,0.001079,0.001079
48,0.000935,0.099621,0.000934,0.070296,0.000936,0.693553,0.132791,0.000934
49,0.000684,0.861712,0.000684,0.000684,0.000684,0.134186,0.000684,0.000683
50,0.000895,0.000894,0.000894,0.355767,0.000894,0.134853,0.504907,0.000894
51,0.169766,0.000803,0.000803,0.000802,0.000802,0.109881,0.716339,0.000803
52,0.995828,0.000596,0.000596,0.000596,0.000596,0.000596,0.000596,0.000596
53,0.259491,0.000948,0.000948,0.461282,0.000948,0.274487,0.000948,0.000948
54,0.000985,0.000985,0.993103,0.000985,0.000985,0.000985,0.000986,0.000985
55,0.266223,0.001304,0.439247,0.001304,0.001304,0.114329,0.174987,0.001303
56,0.000638,0.000638,0.000638,0.000638,0.995532,0.000639,0.000638,0.000638
57,0.000971,0.000970,0.000970,0.000970,0.000970,0.993209,0.000970,0.000970
58,0.000863,0.031647,0.000863,0.130059,0.000863,0.640106,0.123505,0.072092
59,0.989447,0.001508,0.001509,0.001507,0.001508,0.001508,0.001507,0.001507
60,0.994200,0.000829,0.000829,0.000829,0.000828,0.000829,0.000829,0.000829
61,0.000478,0.000477,0.000478,0.000477,0.000477,0.000478,0.996657,0.000477
62,0.001035,0.001034,0.001034,0.001034,0.001034,0.992760,0.001034,0.001034
63,0.000642,0.000641,0.995509,0.000641,0.000641,0.000642,0.000642,0.000641
64,0.101160,0.002087,0.002087,0.256785,0.002085,0.002086,0.526519,0.107192
65,0.000888,0.085843,0.242833,0.000888,0.000888,0.137775,0.529997,0.000888
66,0.551276,0.001009,0.335053,0.001010,0.001009,0.001010,0.001009,0.108625
67,0.000787,0.000787,0.994489,0.000787,0.000787,0.000787,0.000787,0.000789
68,0.184209,0.158597,0.000813,0.053708,0.000813,0.272411,0.281594,0.047855
69,0.000970,0.000970,0.000970,0.000970,0.000970,0.000970,0.993212,0.000969
70,0.993366,0.000948,0.000948,0.000947,0.000948,0.000948,0.000948,0.000948
71,0.414513,0.000941,0.256261,0.000941,0.000941,0.000941,0.000941,0.324520
72,0.001043,0.001043,0.001044,0.090461,0.001044,0.385200,0.519122,0.001044
73,0.001117,0.001117,0.001117,0.001117,0.001117,0.992180,0.001117,0.001117
74,0.077510,0.001108,0.426350,0.001109,0.001108,0.239367,0.001109,0.252339
75,0.001318,0.118138,0.001319,0.226020,0.001318,0.001318,0.542270,0.108300
76,0.001088,0.001088,0.753984,0.001089,0.001088,0.001088,0.239487,0.001088
77,0.001080,0.001080,0.001079,0.001079,0.001079,0.382145,0.001079,0.611379
78,0.000732,0.000731,0.994877,0.000732,0.000732,0.000733,0.000732,0.000732
79,0.278907,0.000863,0.000863,0.076805,0.000863,0.000864,0.639971,0.000864
80,0.000888,0.000887,0.000888,0.132592,0.000887,0.000887,0.000888,0.862082
81,0.000835,0.000834,0.994158,0.000835,0.000834,0.000834,0.000835,0.000834
82,0.001215,0.076395,0.253121,0.266678,0.001216,0.001215,0.398943,0.001216
83,0.321596,0.001490,0.001491,0.001490,0.001490,0.001490,0.669464,0.001490
84,0.413587,0.002196,0.002196,0.002195,0.002196,0.002195,0.573238,0.002195
85,0.000645,0.410157,0.218173,0.368444,0.000645,0.000645,0.000646,0.000645
86,0.538334,0.093477,0.000797,0.000797,0.000797,0.222095,0.142904,0.000798
87,0.182982,0.000537,0.000537,0.650036,0.000537,0.000537,0.000537,0.164296
88,0.737862,0.001346,0.001345,0.001345,0.001347,0.001346,0.001345,0.254064
89,0.990585,0.001345,0.001345,0.001345,0.001345,0.001346,0.001345,0.001345
90,0.994157,0.000835,0.000834,0.000834,0.000835,0.000834,0.000836,0.000834
91,0.658495,0.001159,0.001160,0.113333,0.001158,0.129321,0.001159,0.094214
92,0.081963,0.000797,0.000797,0.721937,0.000797,0.000797,0.000798,0.192114
93,0.699988,0.147558,0.000847,0.074167,0.000846,0.043235,0.000845,0.032513
94,0.566959,0.427352,0.000948,0.000948,0.000949,0.000948,0.000948,0.000948
95,0.419634,0.000851,0.000851,0.000852,0.000851,0.575257,0.000852,0.000852
96,0.255968,0.000616,0.000617,0.000617,0.000616,0.000617,0.000616,0.740333
97,0.818792,0.000887,0.000888,0.000888,0.000887,0.041758,0.000888,0.135011
98,0.792500,0.000889,0.000888,0.202171,0.000888,0.000888,0.000887,0.000889
