topic,rank,term
1,1,model
1,2,neural
1,3,network
1,4,learning
1,5,based
1,6,networks
1,7,image
1,8,models
1,9,using
1,10,data
1,11,approach
1,12,performance
1,13,state
1,14,present
1,15,method
1,16,images
1,17,new
1,18,training
1,19,methods
1,20,demonstrate
2,1,algorithm
2,2,problem
2,3,time
2,4,algorithms
2,5,graph
2,6,log
2,7,problems
2,8,model
2,9,number
2,10,optimal
2,11,results
2,12,bounds
2,13,bound
2,14,lower
2,15,linear
2,16,paper
2,17,given
2,18,approximation
2,19,graphs
2,20,complexity
3,1,data
3,2,learning
3,3,models
3,4,model
3,5,training
3,6,information
3,7,tasks
3,8,approach
3,9,methods
3,10,performance
3,11,datasets
3,12,using
3,13,new
3,14,propose
3,15,demonstrate
3,16,machine
3,17,state
3,18,work
3,19,machine learning
3,20,paper
4,1,quantum
4,2,high
4,3,energy
4,4,design
4,5,state
4,6,spin
4,7,using
4,8,based
4,9,optical
4,10,systems
4,11,devices
4,12,large
4,13,applications
4,14,single
4,15,performance
4,16,different
4,17,qubit
4,18,materials
4,19,demonstrate
4,20,time
5,1,data
5,2,time
5,3,model
5,4,performance
5,5,circuits
5,6,based
5,7,graph
5,8,systems
5,9,paper
5,10,codes
5,11,circuit
5,12,results
5,13,set
5,14,size
5,15,functions
5,16,number
5,17,using
5,18,use
5,19,clinical
5,20,prediction
